Date,EFA,EEM,GLD,IYR
2017-11-11,-1.0,-1.0,-2.0,-1.0
2017-11-18,-1.0,-1.0,-1.0,-1.0
2017-11-25,-1.0,-1.0,-2.0,-2.0
2017-12-02,-1.0,-1.0,-2.0,-2.0
2017-12-09,-1.0,-1.0,-1.0,-1.0
2017-12-16,-1.0,-1.0,1.0,-2.0
2017-12-23,-1.0,-1.0,-2.0,-1.0
2017-12-30,-2.0,-2.0,-2.0,-2.0
2018-01-06,-1.0,-1.0,-2.0,-2.0
2018-01-13,-1.0,-1.0,-1.0,-1.0
2018-01-20,-1.0,-1.0,-2.0,-1.0
2018-01-27,-2.0,-2.0,-1.0,-2.0
2018-02-03,-2.0,-2.0,-1.0,-2.0
2018-02-10,-2.0,-2.0,-2.0,-1.0
2018-02-17,2.0,-1.0,-1.0,-1.0
2018-02-24,-2.0,-2.0,-1.0,-1.0
2018-03-03,-1.0,-2.0,-2.0,-1.0
2018-03-10,1.0,-1.0,-1.0,-1.0
2018-03-17,-2.0,-2.0,-2.0,-2.0
2018-03-24,1.0,-1.0,-2.0,-1.0
2018-03-31,-1.0,-2.0,-1.0,-1.0
2018-04-07,1.0,-1.0,-1.0,-1.0
2018-04-14,-1.0,-1.0,-1.0,-1.0
2018-04-21,-1.0,-1.0,-1.0,-1.0
2018-04-28,-1.0,-2.0,-1.0,-1.0
2018-05-05,-1.0,-1.0,-1.0,-1.0
2018-05-12,-1.0,-1.0,-2.0,-2.0
2018-05-19,-2.0,-2.0,-1.0,-1.0
2018-05-26,-1.0,1.0,-1.0,-1.0
2018-06-02,-1.0,-1.0,-1.0,-1.0
2018-06-09,-1.0,-1.0,-2.0,-1.0
2018-06-16,-2.0,-2.0,-1.0,-2.0
2018-06-23,-1.0,-2.0,-2.0,-2.0
2018-06-30,-1.0,-1.0,-1.0,-2.0
2018-07-07,-1.0,-1.0,-1.0,-1.0
2018-07-14,-1.0,-1.0,-2.0,-1.0
2018-07-21,-1.0,-1.0,-1.0,-1.0
2018-07-28,-1.0,-1.0,-2.0,-2.0
2018-08-04,-2.0,-2.0,-1.0,-1.0
2018-08-11,-1.0,-1.0,-2.0,-2.0
